Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Sexe/Âge - Département : La Réunion 974 - Janvier 1996 à Janvier 2023 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fj=974&lo=0&ss=1
Mois;Hommes/Moins de 25 ans;Hommes/De 25 à 49 ans;Hommes/50 ans ou plus;Total Hommes;Femmes/Moins de 25 ans;Femmes/De 25 à 49 ans;Femmes/50 ans ou plus;Total Femmes;Total
Juillet 2007; 9 220; 31 710; 4 730; 45 660; 10 220; 37 480; 5 120; 52 820; 98 480
Août 2007; 9 850; 31 830; 4 740; 46 420; 10 850; 38 050; 5 160; 54 060; 100 470
Septembre 2007; 9 940; 31 930; 4 730; 46 600; 10 870; 38 210; 5 190; 54 270; 100 870
Octobre 2007; 9 720; 31 710; 4 670; 46 100; 10 620; 38 160; 5 190; 53 970; 100 060
Novembre 2007; 9 420; 31 560; 4 720; 45 700; 10 220; 37 870; 5 180; 53 270; 98 970
Décembre 2007; 8 760; 31 210; 4 810; 44 780; 9 500; 36 900; 5 080; 51 480; 96 250
Janvier 2008; 9 240; 32 320; 4 910; 46 470; 9 930; 37 660; 5 180; 52 770; 99 250
Février 2008; 9 280; 32 180; 4 900; 46 360; 10 000; 37 860; 5 210; 53 070; 99 420
Mars 2008; 9 360; 32 250; 4 920; 46 530; 10 010; 38 070; 5 290; 53 370; 99 890
Avril 2008; 9 340; 32 280; 5 030; 46 650; 9 850; 38 410; 5 320; 53 580; 100 220
Mai 2008; 9 200; 32 330; 5 040; 46 570; 9 730; 38 380; 5 370; 53 480; 100 040
Juin 2008; 9 110; 32 490; 5 100; 46 700; 9 740; 38 310; 5 430; 53 480; 100 180
Juillet 2008; 9 390; 32 530; 5 120; 47 040; 10 310; 38 530; 5 470; 54 310; 101 350
Août 2008; 9 910; 32 660; 5 140; 47 710; 10 700; 38 820; 5 550; 55 070; 102 770
Septembre 2008; 10 020; 32 960; 5 250; 48 230; 10 660; 39 160; 5 680; 55 500; 103 740
Octobre 2008; 10 030; 33 510; 5 370; 48 910; 10 650; 39 520; 5 750; 55 920; 104 820
Novembre 2008; 9 800; 33 800; 5 490; 49 090; 10 310; 39 110; 5 810; 55 230; 104 310
Décembre 2008; 9 540; 34 680; 5 650; 49 870; 9 860; 38 830; 5 840; 54 530; 104 410
Janvier 2009; 10 010; 36 110; 5 870; 51 990; 10 020; 39 390; 5 950; 55 360; 107 360
Février 2009; 10 420; 36 910; 6 060; 53 390; 10 290; 40 240; 6 090; 56 620; 110 000
Mars 2009; 10 610; 37 950; 6 240; 54 800; 10 420; 40 740; 6 160; 57 320; 112 130
Avril 2009; 10 870; 38 840; 6 410; 56 120; 10 590; 41 230; 6 280; 58 100; 114 200
Mai 2009; 10 840; 39 280; 6 570; 56 690; 10 340; 41 060; 6 360; 57 760; 114 440
Juin 2009; 10 890; 39 850; 6 700; 57 440; 10 340; 41 300; 6 440; 58 080; 115 510
Juillet 2009; 11 140; 40 410; 6 810; 58 360; 10 790; 41 460; 6 530; 58 780; 117 140
Août 2009; 11 970; 40 740; 6 970; 59 680; 11 450; 42 240; 6 680; 60 370; 120 050
Septembre 2009; 12 170; 41 440; 7 110; 60 720; 11 660; 42 730; 6 830; 61 220; 121 940
Octobre 2009; 12 480; 41 940; 7 290; 61 710; 11 980; 43 670; 7 000; 62 650; 124 350
Novembre 2009; 12 370; 42 470; 7 470; 62 310; 11 920; 44 000; 7 150; 63 070; 125 370
Décembre 2009; 12 040; 43 120; 7 690; 62 850; 11 470; 44 280; 7 390; 63 140; 125 990
Janvier 2010; 12 790; 44 550; 7 910; 65 250; 12 120; 45 580; 7 660; 65 360; 130 610
Février 2010; 13 030; 44 770; 8 060; 65 860; 12 290; 46 160; 7 810; 66 260; 132 100
Mars 2010; 13 110; 45 220; 8 250; 66 580; 12 530; 47 060; 7 970; 67 560; 134 150
Avril 2010; 12 870; 45 450; 8 410; 66 730; 12 370; 47 360; 8 110; 67 840; 134 560
Mai 2010; 12 560; 45 390; 8 540; 66 490; 12 130; 47 190; 8 220; 67 540; 134 030
Juin 2010; 12 480; 45 590; 8 650; 66 720; 12 350; 47 650; 8 350; 68 350; 135 060
Juillet 2010; 12 650; 45 840; 8 760; 67 250; 12 750; 47 910; 8 560; 69 220; 136 460
Août 2010; 13 090; 46 210; 8 980; 68 280; 13 080; 48 790; 8 780; 70 650; 138 930
Septembre 2010; 13 230; 46 790; 9 150; 69 170; 13 320; 49 570; 9 070; 71 960; 141 120
Octobre 2010; 13 290; 47 000; 9 300; 69 590; 13 290; 49 990; 9 210; 72 490; 142 090
Novembre 2010; 13 150; 47 420; 9 460; 70 030; 13 160; 50 370; 9 380; 72 910; 142 930
Décembre 2010; 12 730; 47 680; 9 660; 70 070; 12 760; 50 180; 9 530; 72 470; 142 540
Janvier 2011; 13 190; 48 510; 9 960; 71 660; 13 120; 51 220; 9 710; 74 050; 145 720
Février 2011; 13 300; 48 780; 10 070; 72 150; 13 310; 51 610; 9 850; 74 770; 146 930
Mars 2011; 13 250; 49 100; 10 250; 72 600; 13 280; 52 080; 9 980; 75 340; 147 930
Avril 2011; 12 840; 48 790; 10 330; 71 960; 12 910; 51 810; 10 050; 74 770; 146 710
Mai 2011; 12 770; 48 960; 10 460; 72 190; 12 890; 52 120; 10 170; 75 180; 147 350
Juin 2011; 12 500; 48 470; 10 520; 71 490; 12 920; 51 680; 10 190; 74 790; 146 280
Juillet 2011; 12 680; 48 350; 10 590; 71 620; 13 330; 51 740; 10 300; 75 370; 146 970
Août 2011; 13 130; 48 600; 10 740; 72 470; 13 640; 52 430; 10 500; 76 570; 149 040
Septembre 2011; 13 300; 48 820; 10 880; 73 000; 14 040; 52 960; 10 690; 77 690; 150 690
Octobre 2011; 13 030; 48 750; 11 030; 72 810; 13 930; 52 960; 10 810; 77 700; 150 500
Novembre 2011; 12 890; 48 970; 11 160; 73 020; 13 820; 52 770; 11 010; 77 600; 150 630
Décembre 2011; 12 590; 49 390; 11 440; 73 420; 13 290; 52 650; 11 150; 77 090; 150 520
Janvier 2012; 13 040; 50 260; 11 730; 75 030; 13 550; 53 250; 11 330; 78 130; 153 150
Février 2012; 12 960; 50 170; 11 860; 74 990; 13 460; 53 090; 11 430; 77 980; 152 970
Mars 2012; 13 120; 50 640; 11 990; 75 750; 13 670; 53 830; 11 720; 79 220; 154 970
Avril 2012; 12 780; 50 470; 12 060; 75 310; 13 450; 53 540; 11 820; 78 810; 154 120
Mai 2012; 12 630; 50 150; 12 150; 74 930; 13 270; 53 340; 11 930; 78 540; 153 470
Juin 2012; 12 580; 50 190; 12 310; 75 080; 13 440; 53 260; 12 060; 78 760; 153 830
Juillet 2012; 12 960; 50 180; 12 450; 75 590; 13 870; 53 410; 12 280; 79 560; 155 140
Août 2012; 13 500; 50 510; 12 620; 76 630; 14 320; 54 520; 12 580; 81 420; 158 060
Septembre 2012; 13 600; 50 320; 12 750; 76 670; 14 230; 54 180; 12 690; 81 100; 157 770
Octobre 2012; 13 770; 51 020; 13 080; 77 870; 14 350; 54 880; 13 040; 82 270; 160 130
Novembre 2012; 13 680; 51 460; 13 320; 78 460; 14 270; 55 210; 13 200; 82 680; 161 140
Décembre 2012; 13 150; 51 780; 13 620; 78 550; 13 660; 54 800; 13 330; 81 790; 160 330
Janvier 2013; 13 840; 53 120; 13 980; 80 940; 14 070; 55 490; 13 600; 83 160; 164 100
Février 2013; 14 030; 53 330; 14 130; 81 490; 14 120; 55 500; 13 680; 83 300; 164 790
Mars 2013; 13 970; 53 390; 14 290; 81 650; 14 070; 55 650; 13 850; 83 570; 165 220
Avril 2013; 13 940; 53 900; 14 500; 82 340; 14 160; 56 100; 14 050; 84 310; 166 650
Mai 2013; 13 740; 53 670; 14 680; 82 090; 13 990; 55 770; 14 160; 83 920; 166 000
Juin 2013; 13 360; 52 930; 14 710; 81 000; 13 770; 54 820; 14 120; 82 710; 163 700
Juillet 2013; 13 960; 53 120; 14 800; 81 880; 14 480; 55 420; 14 410; 84 310; 166 190
Août 2013; 14 470; 53 530; 14 980; 82 980; 14 810; 56 300; 14 660; 85 770; 168 740
Septembre 2013; 14 660; 53 560; 15 140; 83 360; 14 930; 56 350; 14 850; 86 130; 169 480
Octobre 2013; 14 790; 53 800; 15 330; 83 920; 15 100; 56 840; 15 070; 87 010; 170 930
Novembre 2013; 14 370; 53 500; 15 480; 83 350; 14 620; 56 360; 15 190; 86 170; 169 530
Décembre 2013; 13 620; 53 290; 15 740; 82 650; 13 920; 55 820; 15 320; 85 060; 167 710
Janvier 2014; 13 990; 54 290; 16 100; 84 380; 14 140; 56 510; 15 570; 86 220; 170 610
Février 2014; 13 880; 54 200; 16 180; 84 260; 14 020; 56 490; 15 710; 86 220; 170 480
Mars 2014; 13 680; 54 060; 16 330; 84 070; 14 020; 56 560; 15 890; 86 470; 170 550
Avril 2014; 13 510; 54 220; 16 530; 84 260; 14 000; 56 970; 16 140; 87 110; 171 370
Mai 2014; 13 260; 54 010; 16 760; 84 030; 13 640; 56 910; 16 210; 86 760; 170 780
Juin 2014; 13 260; 53 880; 16 910; 84 050; 13 770; 56 720; 16 360; 86 850; 170 900
Juillet 2014; 13 640; 54 000; 17 050; 84 690; 14 310; 57 100; 16 620; 88 030; 172 710
Août 2014; 14 060; 53 740; 17 230; 85 030; 14 400; 57 180; 16 770; 88 350; 173 380
Septembre 2014; 14 310; 53 810; 17 450; 85 570; 14 650; 57 290; 17 030; 88 970; 174 520
Octobre 2014; 14 190; 54 110; 17 650; 85 950; 14 590; 57 900; 17 290; 89 780; 175 730
Novembre 2014; 13 750; 53 760; 17 720; 85 230; 14 140; 57 220; 17 400; 88 760; 173 980
Décembre 2014; 13 220; 53 780; 17 930; 84 930; 13 730; 57 030; 17 560; 88 320; 173 260
Janvier 2015; 13 540; 54 550; 18 230; 86 320; 13 820; 57 640; 17 780; 89 240; 175 560
Février 2015; 13 470; 54 410; 18 260; 86 140; 13 820; 57 750; 17 960; 89 530; 175 660
Mars 2015; 13 300; 54 560; 18 460; 86 320; 13 640; 58 000; 18 140; 89 780; 176 090
Avril 2015; 13 030; 54 640; 18 670; 86 340; 13 490; 58 320; 18 320; 90 130; 176 470
Mai 2015; 12 850; 54 390; 18 740; 85 980; 13 280; 58 380; 18 420; 90 080; 176 060
Juin 2015; 12 920; 54 520; 19 010; 86 450; 13 450; 58 650; 18 700; 90 800; 177 240
Juillet 2015; 12 960; 54 370; 19 140; 86 470; 13 880; 58 790; 18 930; 91 600; 178 060
Août 2015; 13 360; 54 160; 19 250; 86 770; 14 250; 59 010; 19 110; 92 370; 179 130
Septembre 2015; 13 570; 54 200; 19 480; 87 250; 14 380; 59 190; 19 430; 93 000; 180 250
Octobre 2015; 13 510; 54 480; 19 730; 87 720; 14 340; 59 440; 19 690; 93 470; 181 180
Novembre 2015; 12 910; 53 340; 19 590; 85 840; 13 690; 57 690; 19 540; 90 920; 176 760
Décembre 2015; 12 670; 53 990; 19 970; 86 630; 13 500; 58 660; 19 920; 92 080; 178 700
Janvier 2016; 12 980; 54 690; 20 370; 88 040; 13 570; 58 910; 20 190; 92 670; 180 710
Février 2016; 12 970; 54 470; 20 430; 87 870; 13 610; 58 870; 20 280; 92 760; 180 620
Mars 2016; 12 810; 54 460; 20 630; 87 900; 13 490; 58 990; 20 450; 92 930; 180 820
Avril 2016; 12 400; 53 740; 20 680; 86 820; 13 060; 58 220; 20 470; 91 750; 178 570
Mai 2016; 12 310; 53 670; 20 840; 86 820; 13 030; 58 400; 20 580; 92 010; 178 820
Juin 2016; 12 270; 53 300; 20 820; 86 390; 13 190; 58 310; 20 680; 92 180; 178 570
Juillet 2016; 12 390; 53 100; 20 900; 86 390; 13 410; 57 690; 20 680; 91 780; 178 180
Août 2016; 13 140; 53 370; 21 000; 87 510; 14 100; 58 790; 21 030; 93 920; 181 430
