Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Niveau de formation - Région : La Réunion - Janvier 1996 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=04&lw=0&ss=1
Mois;Non renseigné;Niveau supérieur à Bac+2;Niveau Bac+2;Niveau Bac;Niveau BEP, CAP;Niveau CEP, BEPC;Niveau inférieur au CEP, BEPC;Total
Septembre 2015;ND;ND;ND;ND;ND;ND;ND; 180 250
Octobre 2015;ND;ND;ND;ND;ND;ND;ND; 181 180
Novembre 2015;ND;ND;ND;ND;ND;ND;ND; 176 760
Décembre 2015;ND;ND;ND;ND;ND;ND;ND; 178 700
Janvier 2016;ND;ND;ND;ND;ND;ND;ND; 180 710
Février 2016;ND;ND;ND;ND;ND;ND;ND; 180 620
Mars 2016;ND;ND;ND;ND;ND;ND;ND; 180 820
Avril 2016;ND;ND;ND;ND;ND;ND;ND; 178 570
Mai 2016;ND;ND;ND;ND;ND;ND;ND; 178 820
Juin 2016;ND;ND;ND;ND;ND;ND;ND; 178 570
Juillet 2016;ND;ND;ND;ND;ND;ND;ND; 178 180
Août 2016;ND;ND;ND;ND;ND;ND;ND; 181 430
Septembre 2016;ND;ND;ND;ND;ND;ND;ND; 181 570
Octobre 2016;ND;ND;ND;ND;ND;ND;ND; 181 530
Novembre 2016;ND;ND;ND;ND;ND;ND;ND; 181 610
Décembre 2016;ND;ND;ND;ND;ND;ND;ND; 180 400
Janvier 2017;ND;ND;ND;ND;ND;ND;ND; 182 970
Février 2017;ND;ND;ND;ND;ND;ND;ND; 182 260
Mars 2017;ND;ND;ND;ND;ND;ND;ND; 181 450
Avril 2017;ND;ND;ND;ND;ND;ND;ND; 180 250
Mai 2017;ND;ND;ND;ND;ND;ND;ND; 180 480
Juin 2017;ND;ND;ND;ND;ND;ND;ND; 179 920
Juillet 2017;ND;ND;ND;ND;ND;ND;ND; 179 810
Août 2017;ND;ND;ND;ND;ND;ND;ND; 182 670
Septembre 2017;ND;ND;ND;ND;ND;ND;ND; 182 310
Octobre 2017;ND;ND;ND;ND;ND;ND;ND; 182 510
Novembre 2017;ND;ND;ND;ND;ND;ND;ND; 181 730
Décembre 2017;  60; 10 930; 15 480; 36 060; 65 510; 14 220; 37 550; 179 800
Janvier 2018;  80; 11 130; 15 840; 36 740; 66 690; 14 450; 37 940; 182 880
Février 2018;  70; 11 170; 15 850; 36 860; 66 500; 14 410; 37 820; 182 680
Mars 2018;  70; 11 190; 15 810; 36 810; 66 280; 14 330; 37 590; 182 070
Avril 2018;  50; 11 260; 15 780; 36 710; 65 940; 14 260; 37 480; 181 480
Mai 2018;  700; 9 370; 13 020; 36 230; 69 450; 16 760; 36 880; 182 410
Juin 2018; 2 570; 10 420; 15 030; 36 810; 67 800; 14 940; 33 970; 181 530
Juillet 2018; 1 540; 10 480; 15 140; 37 060; 68 330; 15 210; 34 750; 182 510
Août 2018;  300; 11 370; 16 080; 37 890; 68 680; 14 870; 34 980; 184 160
Septembre 2018;  230; 11 400; 16 070; 37 970; 68 520; 14 770; 34 800; 183 750
Octobre 2018;  180; 11 500; 16 200; 38 090; 68 720; 14 890; 34 870; 184 460
Novembre 2018;  130; 11 490; 15 920; 37 540; 67 770; 14 700; 34 480; 182 040
Décembre 2018;  120; 11 460; 15 850; 37 410; 67 700; 14 680; 34 390; 181 610
Janvier 2019;  120; 11 770; 16 160; 38 370; 68 990; 15 040; 34 480; 184 910
Février 2019;  110; 11 680; 16 170; 38 290; 68 670; 14 900; 34 410; 184 230
Mars 2019;  100; 11 520; 16 090; 38 230; 68 440; 14 840; 34 390; 183 610
Avril 2019;  90; 11 490; 16 010; 38 100; 68 160; 14 830; 34 320; 182 990
Mai 2019;  90; 11 450; 15 850; 37 830; 67 760; 14 620; 34 050; 181 650
Juin 2019;  80; 11 460; 15 840; 37 920; 67 680; 14 600; 34 060; 181 640
Juillet 2019;  90; 11 620; 16 020; 38 360; 67 930; 14 660; 34 190; 182 860
Août 2019;  90; 11 770; 16 150; 38 660; 68 130; 14 660; 34 320; 183 780
Septembre 2019;  80; 11 860; 16 200; 38 880; 68 100; 14 680; 34 070; 183 870
Octobre 2019;  90; 11 890; 16 120; 38 600; 67 740; 14 570; 33 930; 182 930
Novembre 2019;  80; 11 710; 15 810; 37 760; 66 420; 14 230; 33 410; 179 420
Décembre 2019;  60; 11 630; 15 630; 37 200; 65 860; 14 050; 33 270; 177 710
Janvier 2020;  60; 11 720; 15 850; 37 880; 66 630; 14 210; 33 510; 179 860
Février 2020;  50; 11 660; 15 680; 37 640; 66 000; 14 070; 33 180; 178 280
Mars 2020;  50; 11 860; 15 820; 37 880; 66 030; 14 020; 32 860; 178 500
Avril 2020;  50; 12 080; 16 000; 38 240; 66 190; 14 030; 32 650; 179 240
Mai 2020;  60; 12 040; 16 010; 38 270; 66 020; 13 990; 32 660; 179 050
